,小区名称,新房类型,是否在售,行政区,板块,详细地址,建面面积,均价,总价,卧室数,小区标签
151,上实和风院,住宅,在售,崇明,陈家镇,颐湖路288弄,建面80-90㎡,27900,总价200-280(万/套),2室, 低总价 绿化率高 低密居所 国央企  
152,荣安林语湖院,住宅,在售,上海周边,嘉兴,城西路荣安林语湖院,建面87-117㎡,16500,总价143-193(万/套),3室/4室, 车位充足 人车分流 品牌房企 公交直达  
153,江海明月,住宅,在售,上海周边,启东,通海路366号,建面73-129㎡,9500,总价70-123.6(万/套),2室/3室/4室, 低单价 低总价 车位充足 绿化率高  
154,欣隆盛世欣禧湾,住宅,在售,上海周边,嘉兴,双龙路欣隆盛世欣禧湾,建面84-119㎡,10200,总价88-123(万/套),3室/4室, 低单价 低总价 绿化率高 人车分流  
155,爱情花漫里,住宅,在售,上海周边,嘉兴,新兴三路爱情花漫里,建面105-119㎡,12500,总价120-160(万/套),3室/4室, 低单价 低总价 车位充足 封闭管理  
156,格力公园海德,住宅,在售,松江,泗泾,祥严路88弄,建面117-197㎡,62000,总价720-1235(万/套),3室/4室/5室, 车位充足 低密居所 国央企 置换改善  
157,祥源•悦江南花园,住宅,在售,上海周边,昆山,亲和路339号,建面90-95㎡,15500,总价140-145(万/套),2室/3室, 低总价 绿化率高 人车分流 品牌房企  
158,碧桂园海上风华,住宅,在售,上海周边,上海周边,博智路碧桂园海上风华,建面70-135㎡,14000,总价100-190(万/套),1室/3室/4室, 低单价 低总价 人车分流 封闭管理  
159,海元轩,住宅,在售,上海周边,嘉兴,戴凤路海元轩,建面92-125㎡,10500,总价92-125(万/套),2室/3室, 低单价 低总价 低密居所 人车分流  
160,盛和西欧.翰林府,住宅,在售,上海周边,启东,长龙东路与惠阳北路交汇处,建面96-127㎡,17985,总价172-220(万/套),3室/4室, 低总价 车位充足 绿化率高 国央企  
161,钱塘玉园,住宅,在售,上海周边,嘉兴,海盐县昌平南路西侧、吕冢港南侧,建面69-89㎡,10200,总价70-90(万/套),2室, 低单价 低总价 人车分流 小型社区  
162,碧桂园未来星荟,住宅,在售,上海周边,启东,海洪路与精英路交界处,建面88-135㎡,13000,总价150-213(万/套),3室/4室, 低单价 低总价 车位充足 绿化率高  
163,上坤都荟四季,住宅,在售,上海周边,昆山,亲和路518号,建面93-129㎡,15000,总价140-193(万/套),3室/4室, 绿化率高 人车分流 品牌房企 公交直达  
164,新城云萃景园,住宅,在售,上海周边,太仓,太仓市学院路云萃景园,建面96-138㎡,24000,总价230-305(万/套),3室, 车位充足 绿化率高 品牌房企 公交直达  
165,境启澜庭,住宅,在售,上海周边,昆山,亲和路16号,建面92-125㎡,14800,总价135-185(万/套),3室/4室, 低总价 绿化率高 人车分流 国央企  
166,云湖壹号,住宅,在售,金山,金山,金山区九工路2499弄58号,建面76-151㎡,21074,总价150-220(万/套),2室/3室, 低单价 低总价 绿化率高 低密居所  
167,浦发虹湾,住宅,在售,浦东,唐镇,虹昌路285弄,建面90㎡,66784,总价570(万/套),3室, 车位充足 绿化率高 国央企 高品质小区  
168,湖畔祥云花苑,住宅,在售,上海周边,太仓,毛家市路99号,建面87-117㎡,14500,总价150-176(万/套),3室/4室, 低单价 低总价 车位充足 绿化率高  
169,佳源·印象蓝湾,住宅,在售,上海周边,太仓,印溪东路199号,建面77-97㎡,14000,总价104-131(万/套),2室/3室, 低单价 低总价 绿化率高 低密居所  
170,菁庭,住宅,在售,上海周边,昆山,陆家南圩路133号,建面70-136㎡,21500,总价150-289(万/套),2室/3室/4室, 低总价 绿化率高 人车分流 公交直达  
171,兰亭都荟花园,住宅,在售,上海周边,昆山,新吴街1450号,建面95-129㎡,15000,总价143-194(万/套),3室/4室, 低总价 绿化率高 人车分流 品牌房企  
172,融创建华嘉潮府,住宅,在售,上海周边,嘉兴,科技大道融创建华嘉潮府,建面98-142㎡,19750,总价195-280(万/套),3室/4室, 车位充足 封闭管理 品牌房企 大三居  
173,仁恒时代天镜,住宅,在售,上海周边,太仓,文昌路与桴亭路交叉口,建面115-226㎡,23200,总价290-580(万/套),3室/4室, 车位充足 绿化率高 品牌房企 公交直达  
174,金地商置湖城风华,住宅,在售,上海周边,苏州,苏州吴江汾湖黎里镇城司路与海南路交叉路口,建面81-112㎡,18000,总价150-200(万/套),3室/4室, 车位充足 低密居所 养老舒适 品牌房企  
175,江湾四季,住宅,在售,上海周边,昆山,昆山市张浦镇通湖路59号,建面92-130㎡,14500,总价135-190(万/套),3室/4室, 低单价 低总价 绿化率高 人车分流  
176,秀悦澜庭,住宅,在售,上海周边,嘉兴,汇源路秀悦澜庭,建面95-143㎡,12800,总价122-163(万/套),3室/4室, 低单价 低总价 车位充足 人车分流  
177,浙通名力桃花源雅园,住宅,在售,上海周边,太仓,宁波路浙通名力桃花源雅园,建面88-130㎡,19500,总价170-220(万/套),3室, 车位充足 绿化率高 国央企 品牌房企  
178,锦博学府,住宅,在售,上海周边,嘉兴,四明路锦博学府,建面71-89㎡,17900,总价135-170(万/套),2室/3室, 低总价 人车分流 小型社区 公交直达  
179,中锐星悦江南,住宅,在售,上海周边,昆山,江苏省苏州市昆山市龙蚬路,建面98-118㎡,16300,总价152-190(万/套),3室, 优惠楼盘 低总价 绿化率高 低密居所  
